연번,"광역
단체명","기초
단체명",축제명,축제유형,개최기간,개최장소,개최방식,"최초
개최년도",예산(백만원),,,,방문객수(前년),,전담조직(축제사무국),,,"국비지원
부처명",담당자,
121,전북,전주시,제26회 전주한지문화축제,문화예술,5월 중 3일,한국전통문화전당,혼합형,1997,,216,41,257,"40,000",,전주한지문화축제조직위원회,축제조직위,,,최은지,281-2931
122,전북,전주시,세계문화주간,문화예술,6월 중,전주일원,혼합형,2016,35,35,,70,미개최,,전주시,공공,,문체부,양소정,281-2697
123,전북,전주시,제47회 전주대사습놀이 전국대회,문화예술,5.14~5.30,전주일원,대면,1975,,540,,540,비대면(청중평가단 50),,전주대사습놀이 조직위원회,축제조직위,문화예술진흥법 제3조,,주정용,281-2680
124,전북,전주시,전주 단오 행사,전통역사,6.3~6.4,덕진공원 일원,혼합형,1959,,80,,80,온라인,,(사)풍남문화법인,사단법인,,,빈효정,281-2532
125,전북,전주시,2022 전주얼티밋뮤직페스티벌,문화예술,8.5~8.7,전주종합경기장,혼합형,2016,,450,50,500,"1,500",,전주문화방송,법인,,,진소라,063-281-5092
126,전북,전주시,전주비빔밥축제,특산물,10.6~10.9,한옥마을일원,대면,2010,,430,,430,"100,247",,전주시,공공,,,변문선,063-281-2382
127,전북,전주시,서학동갤러리길 미술축제(쿤스트서학),문화예술,10월 중,서학동예술마을,혼합형,2018,,35,,35,온라인,,서학동 갤러리길 협의회,민간단체,,,빈효정,063-281-2532
128,전북,전주시,제12회 얼굴없는천사 축제,전통역사,10.3~10.4,노송동 천사공원,혼합형,2011,,17.85,,17.85,온라인,,얼굴없는천사축제조직위원회,축제조직위,,,신동훈,063-281-2498
129,전북,군산시,2022 제10회 군산시간여행축제,"전통역사
문화예술",10.1~10.16,"시간여행마을권역
구시청광장",혼합형,2013,,859,,859,"90,817",,"군산시간여행축제
추진위원회",축제조직위,군산시 축제발전 및 운영에 관한 조례,,이진규,063-454-3304
130,전북,군산시,2022 제17회 군산꽁당보리축제,"생태자연
특산물",4.30~5.4,"미성동 
국제문화마을 일원",혼합형,2006,,234,,234,미개최,,"군산꽁당보리축제
추진위원회",축제조직위,군산시 축제발전 및 운영에 관한 조례,,이정용,063-454-5232
131,전북,군산시,2022 군산짬뽕페스티벌,특산물,10월 중,짬뽕특화거리,혼합형,2020,,90,,90,미개최,,군산시,공공,,,전세미,063-454-3414
132,전북,군산시,2022 군산 수제맥주 페스티벌,"문화예술
특산물",10월 중 2주간,내항 및 째보선창 일원,혼합형,2022,,200,,200,-,,군산시,공공,,,이정미,063-454-3013
133,전북,익산시,익산서동축제,전통역사,10월 중,금마서동공원,혼합형,2004,,870,,870,"48,454",,익산문화관광재단,재단법인,익산문화관광재단 설립 및 운영에 관한 조례,,유영일,063-859-5826
134,전북,익산시,제19회 익산 천만송이 국화축제,생태자연,10월~11월 중,중앙체육공원,대면,2004,,"1,299",,"1,299",미집계,,기술보급과,공공,,,노은희,063-859-4977
135,전북,익산시,두동편백마을 힐링 숲 축제,생태자연,11월 중,두동편백마을,대면,2019,,32,,32,"1,000여명",,두동편백마을,민간단체,,,유영일,063-859-5826
136,전북,익산시,함라두레마당 떡볶이문화축제,주민화합,11월 중,함라두레마당,대면,2022,,23,,23,-,,함라두레마당,민간단체,,,유영일,063-859-5826
137,전북,정읍시,정읍 벚꽃축제,생태자연,4월초(5일간),하천,대면,1991,,250,,250,미개최,,정읍시,공공,,,최지연,063-539-5202
138,전북,정읍시,정읍천 빛축제,기타,10월~11월,하천,대면,2019,,290,,290,"52,000",,정읍시,공공,,,최지연,063-539-5202
139,전북,정읍시,정읍 구절초 꽃축제,생태자연,9.29~10.17(18일간),공원,대면,2005,,775,,775,"220,070","2,000","정읍시 농업정책과/
정읍시구절초축제추진위원회",공공,정읍시 구절초축제 추진위원회 운영 조례 ,,송대효,063-539-6172
140,전북,정읍시,솔티모시 달빛축제,생태자연,10월초(2일),솔티마을,대면,2014,,32,,32,미개최,,솔티마을,민간단체,,,최지연,063-539-5202
141,전북,남원시,제92회 춘향제,문화예술,5.4~5.8,광한루원 및 요천로 일원,미정,1931,,"1,400",,"1,400",무관객,,춘향제전위원회,축제조직위,남원시 춘향제 조례,,배현태,063-620-6170
142,전북,남원시,제30회 흥부제,문화예술,10.7~10.9,"사랑의 광장,인월면",미정,1993,,340,,340,무관객,,흥부제전위원회,축제조직위,남원시 흥부제 조례 ,,배현태,063-620-6170
143,전북,남원시,지리산바래봉 눈꽃축제,생태자연,1월~2월 중,운봉읍 용산리 268-6,온라인,2011,,20,,20,미개최,,운봉애향회,민간단체,,,이정숙,063-620-6168
144,전북,남원시,지리산 바래봉 철쭉제,생태자연,4월말~5월초(30일정도),운봉읍 용산리 268-6,혼합형,1995,,15,,15,미개최,,운봉애향회,민간단체,,,이정숙,063-620-6168
145,전북,남원시,지리산산수유꽃축제,생태자연,3월 중(2일간),주천면 용궁리 일원,온라인,2010,,10,,10,미개최,,주천면발전협의회,민간단체,,,이정숙,063-620-6168
146,전북,남원시,혼불문학 신행길 축제,문화예술,10월 중(2일간),구)서도역 일원,혼합형,2014,,32,,32,99,,노봉혼불문학마을회,축제조직위,,,이정숙,063-620-6168
147,전북,남원시,한여름밤의 남원 막걸리축제,지역특산물,9.2~9.4,사랑의 광장,대면,2019,,72,,72,미개최,,남원시,공공,,,배현태,063-620-6170
148,전북,김제시,모악산축제,"생태자연, 특산물",4월중 3일간,모악산일원,혼합형,2008,,179,,179,"10,000",,김제시,공공,-,,최정연,063-540-3118
149,전북,김제시,지평선광활햇감자축제,특산물,4.17~4.18,광황초등학교 일원,혼합형,2007,,30,20,50,미개최,,"지평선광활
햇감자추진위원회",민간단체,-,,정혜자,063-540-4881
150,전북,김제시,지평선축억의 보리밭축제,특산물,5.4~5.6,진봉면 심포리 일원,혼합형,2011,,32,40,72,"9,900",,"진봉면 
지역발전협의회",민간단체,-,,최민아,.063-540-4790
151,전북,김제시,김제지평선축제,"문화예술,전통역사",9월~10월중(5일간),김제시 일원(벽골제),혼합형,1999,,"2,540",,2540,"20,000",,"사)김제시
지평선축제
제전위원회",사단법인,김제시지평선축제조례,,이성하,063-540-3190
152,전북,완주군,제10회 와일드&로컬푸드축제,특산물,9~10월 중,완주군 일원,혼합형,2011,,620,40,660,미개최,,와일드&로컬푸드축제추진위원회,축제조직위,완주군 와일드앤로컬푸드축제 운영에 관한 조례,,김정아,063-290-2622
153,전북,완주군,제5회 오성한옥마을 오픈가든축제,기타(주민화합),5월 중,소양오성한옥마을,대면,2018,,32,,32,"5,000",,오성한옥마을,영농조합법인,,,김화선,063-290-2623
154,전북,완주군,제21회  완주삼례딸기축제,특산물,3월 중,삼례읍행정복지센터,혼합형,1996,,50,40,100,미개최,,삼례농협,협동조합,농업·농촌 및 식품산업기본법 제51조 2항,,한용수,063-290-3321
155,전북,완주군,제8회 곶감축제,특산물,12월 중,운주면,대면,2014,,70,30,100,미개최,,완주곶감축제제전위원회,축제조직위,완주군 임업인 및 임업관련 단체 육성·지원 조례,,유동호,063-290-2757
156,전북,진안군,제18회 진안고원운장산고로쇠축제,특산물,3월 초,주천면 일원,혼합형,2005,,62,,62,837,,진안고원 운장산 고로쇠 축제 위원회,축제조직위,,,송유섭,063-430-2393
157,전북,진안군,2022 진안고원 꽃잔디축제,생태자연,4월 중순,진안 원연장 꽃잔디 동산,대면,2009,,10,,10,"32,900",,진안고원 꽃잔디 축제 추진위원회,축제조직위,,,송유섭,063-430-2393
158,전북,진안군,제14회 진안고원 수박축제,특산물,7월 말,동향면 체련공원,혼합형,2009,,50,,50,미개최,,진안고원 수박축제 추진위원회,축제조직위,,,송유섭,063-430-2393
159,전북,진안군,2022 진안홍삼축제,특산물,10월 중순,마이돈 테마공원,혼합형,2016,30,820,,850,"9,502",,진안홍삼삼축제 추진위원회,축제조직위,진안홍삼축제 추진위원회 정관 ,문체부,고강엽,063-430-2392
160,전북,진안군,제4회 진안고원 가족과 함께하는 김치보쌈축제,특산물,11.18~11.19,마이돈 테마공원,혼합형,2019,,50,,50,334,,진안YMCA,시민단체,,,고강엽,063-430-2392
161,전북,무주군,제26회 무주반딧불축제,생태자연,8.27~9.4,무주군 일원,대면,1997,,"2,200",,"2,200",온라인,,(사)무주반딧불축제제전위원회,사단법인,무주군 지역축제 지원 조례,,유우상,063-320-2537
162,전북,무주군,제10회 무주 산골영화제,문화예술,6.2~6.6,등나무 운동장 일원,대면,2013,,850,150,"1,000","2,381",,산골문화재단,재단법인,무주군 지역축제 지원 조례,,김성옥,063-320-2541
163,전북,무주군,제16회 두문낙화놀이축제,전통역사,8.5~8.6,안성면 두문마을 일원,대면,2007,,32,,32,150,,두문리 낙화놀이 보존회,시민단체,-,,유우상,063-320-2537
164,전북,무주군,제11회 명천마을 맨손송어잡기 축제,생태자연,8.1~8.15,안성면 명천마을 일원,대면,2012,,17,,17,300,,명천솔밭영농조합법인,영농조합법인,-,-,유우상,063-320-2537
165,전북,장수군,제16회 장수 한우랑 사과랑 축제,특산물,10월말,의암공원 및 누리파크 일원,혼합형,2007,,"1,020",,"1,020","212,009",,사)장수한우랑사과랑축제추진위원회',사단법인,장수군 지역축제 육성 및 지원에 관한 조례,,유하영,063-350-2356
166,전북,장수군,제6회 번암 물빛 축제,생태자연,7월말,장수 물빛 공원,대명,2017,,32,,32,미개최,,번암면물빛축제추진위원회,축제조직위,장수군 지역축제 육성 및 지원에 관한 조례,,오후조,063-350-2357
167,전북,임실군,옥정호 벚꽃축제,문화예술,4.1~4.3,옥정호일원,혼합형,2022,,35,,35,미개최,,운암면지역발전협의회,민간단체,비영리민간단체지원법,,김지영,063-640-2313
168,전북,임실군,의견문화제,문화예술,5월 중,오수의견공원,혼합형,1986,,270,,270,미개최,,의견문화제전위원회,민간단체,비영리민간단체지원법,,김지영,063-640-2313
169,전북,임실군,필봉마을굿축제,전통역사,8월 중,필봉농악전수교육관,대면,1996,,90,,90,온라인,,임실필봉농악보존회,민간단체,비영리민간단체지원법,,김지영,063-640-2313
170,전북,임실군,사선문화제,문화예술,9월 중,관촌사선대,대면,1987,,50,,50,온라인,,사선문화제전위원회,사단법인,민법,,김지영,063-640-2313
171,전북,임실군,아쿠아페스티벌,기타(주민화합등),7월~8월,임실치즈테마파크,대면,2018,,400,,400,미개최,,(재)임실치즈테마파크,재단법인,재단법인 임실치즈테마파크 설립 및 운영에 관한 조례,,이정희,063-640-2343
172,전북,임실군,임실산타축제,기타(주민화합등),12월말,임실치즈테마파크,대면,2017,,400,,400,미개최,,(재)임실치즈테마파크,재단법인,재단법인 임실치즈테마파크 설립 및 운영에 관한 조례,,이정희,063-640-2343
173,전북,임실군,임실N치즈축제,문화예술,10.7~10.10,"임실치즈테마파크,임실치즈마을",혼합형,2015,30,870,,900,"158,655",,임실N치즈축제제전위원회,축제조직위,"임실군 축제육성 및 지원 등에 
관한 조례",문체부,김학종,063-640-2524
174,전북,순창군,제20회 옥천골벚꽃축제,생태자연,4.7~4.10,순창경천,대면,2001,,40,7,47,미개최,,옥천골벚꽃축제 제전위원회,축제조직위,순창군 지역문화 진흥에 관한 조례,,박지헌,063-650-1624
175,전북,순창군,제3회 섬진강 슬로슬로 발효마을 축제,특산물,8.6~8.7,적성면 지내마을,혼합형,2019,,32,2,34,미개최,,적성슬로공동체,마을단체,순창군 지역문화 진흥에 관한 조례,-,박지헌,063-650-1624
176,전북,순창군,제17회 순창장류축제,특산물,10.14~10.16,고추장민속마을,혼합형,2006,30,50,750,830,온라인,,순창장류축제추진위원회,축제조직위,순창장류축제 육성과 추진위원회 조례,문체부,박지헌,063-650-1624
177,전북,고창군,고창 청보리밭축제,생태자연,4~5월중(23일간),"공음면
학원농장
일원",대면,2004,,120,95,215,미개최,,"고창청보리밭
축제위원회",축제조직위,,,정우영,063-560-2523
178,전북,고창군,고창복분자와수박축제,특산물,6월 중,"선운산
도립공원",혼합형,2005,,200,30,230,미개최,,"고창복분자와
수박축제위원회",축제조직위,,,최인영,063-560-2531
179,전북,고창군,고창갯벌축제,생태자연,"6~7월 중
(3일간)","심원만돌
일원",대면,1996,,120,20,140,미개최,,"고창갯벌
축제위원회",축제조직위,,,표영인,063-560-2631
180,전북,고창군,고창해풍고추축제,특산물,"8월 중
(2일간)",해리면일원,대면,1997,,46,30,76,미개최,,"고창해풍고추
축제위원회",축제조직위,,,김보성,063-560-2533
181,전북,고창군,고창 모양성제,전통역사,10월 중(5일간),고창읍성일원,혼합형,1972,,910,70,980,온라인,,"(사)고창모양성
보존회",사단법인,민법 제32조,,김명선,063-560-2949
182,전북,고창군,바지락 오감체험 페스티벌,특산물,4.29~5.1,하전리,대면,2018,,32,5,37,미개최,,하촌어촌계,공공,수산업협동조합법,,김진현,063-560-2733
183,전북,부안군,제7회 개암동 벚꽃축제,"문화예술,기타(주민화합 등)",4.2~4.3,개암제일원,대면,2016,,30,,30,미개최,,개암동벚꽃축제추진위원회,축제조직위,부안군 축제 발전 및 운영에 관한 조례,,최종열,063-580-3703
184,전북,부안군,제14회 곰소젓갈발효축제,특산물,10월 중(3일간),"곰소
 다용도
부지",대면,2007,,120,,120,미개최,,곰소젖갈발효축제추진위원회,축제조직위,부안군 곰소젓갈발효축제 운영 조례,,박미소,063-580-4489
185,전북,부안군,제9회 부안마실축제,"문화예술, 기타(주민화합 등)",5.5 ~ 5.7,부안군일원(매창공원),혼합형,2012,,"1,100",,"1,100",미집계,,부안마실축제 제전위원회,축제조직위,부안 마실축제 운영 조례,,김민제,063-580-4777
186,전북,부안군,봄맞이해변축제,"특산물, 생태자연",4~5월 중,변산해수욕장 일원,미정,2019,,120,,120,미개최,,문화관광과,공공,,,고나영,063-580-4739
